Official_ID,Centroid_Lat_deg_N,Centroid_Lon_deg_E,Drainage_Area_km2,Elevation_m,Gravelius,Aspect_deg,Slope_deg,Land_Use_Forest_frac,Land_Use_Grass_frac,Land_Use_Wetland_frac,Land_Use_Water_frac,Land_Use_Urban_frac,Land_Use_Shrubs_frac,Land_Use_Crops_frac,Land_Use_Snow_Ice_frac,Permeability_logk_m2,Porosity_frac
05BL022,50.28526,-114.5887,165.4624,2014.1,1.3828,75.6603,13.7936,0.8363,0.1204,0.0002,0.0002,0.0102,0.0327,0.0,0.0,-15.3883063062545,0.173548384674735
05BL023,50.474090000000004,-114.2073,231.9249,1536.5,1.8751,90.561,8.3528,0.4166,0.2812,0.0002,0.0034,0.0065,0.1692,0.12300000000000001,0.0,-15.8157893732974,0.15684210273780302
05BL027,50.47732,-114.4263,137.3616,1865.2,1.578,107.6553,16.8433,0.5399,0.33899999999999997,0.0005,0.0003,0.0,0.0981,0.0221,0.0001,-15.3813951847165,0.18023255571376398
05BM014,50.76404,-113.2363,776.4512,1014.5,1.4198,347.2712,0.9181,0.0038,0.032,0.0013,0.013999999999999999,0.0332,0.0062,0.9095,0.0,-15.1999998092651,0.189999997615814
05BM018,50.51377,-113.3444,29.5002,1040.5,1.2314,281.5761,0.769,0.0,0.0,0.0,0.0072,0.0323,0.0012,0.9594,0.0,-15.1999998092651,0.189999997615814
05CA001,51.7,-114.8556,2490.0,1938.2,1.8755,90.5098,15.2055,0.5243,0.3802,0.0041,0.0069,0.0047,0.0507,0.0181,0.011000000000000001,-15.2841634798566,0.18546810830650798
05CA002,51.926790000000004,-114.6855,821.3957,1441.8,1.8085,100.9489,7.0956,0.6822,0.154,0.0071,0.0085,0.0186,0.0916,0.038,0.0,-15.5282624056901,0.17232432186488503
05CA004,51.660509999999995,-115.4106,941.3659,2192.7,1.9122,147.8458,19.0646,0.4139,0.5034,0.0057,0.0089,0.0008,0.0352,0.0,0.0321,-15.1999998092651,0.189999997615814
05CA009,51.64625,-115.0192,2245.7028,2046.8,1.636,100.3047,17.0376,0.5202,0.4066,0.004,0.0056,0.0034,0.0458,0.0,0.0143,-15.2913571476903,0.18508075701680302
05CA011,51.80208,-114.6631,237.517,1248.2,1.5069,101.0558,3.4646,0.4415,0.0982,0.0064,0.0026,0.0343,0.1192,0.2977,0.0,-15.207026837323198,0.18962161923582502
05CA012,51.736709999999995,-114.6545,488.7601,1434.1,2.2421,85.15100000000001,5.4071,0.6421,0.1579,0.0025,0.0016,0.0154,0.0649,0.1156,0.0,-15.304811268076,0.18435630448385398
05CB001,52.028240000000004,-114.1403,2578.3389,1185.6,1.9625,74.125,2.93,0.2242,0.0987,0.0009,0.0112,0.0362,0.0354,0.5934,0.0,-15.279236689077,0.185733397003001
05CB002,51.51147,-114.671,451.3201,1432.8,1.484,106.9527,7.4167,0.6137,0.2816,0.0022,0.001,0.0129,0.0641,0.0244,0.0,-15.6351693646382,0.166567794126222
05CB004,52.08928,-114.4775,644.6171,1100.3,1.7675,78.001,1.5099,0.3558,0.0735,0.003,0.0065,0.0327,0.061,0.4676,0.0,-15.1999998092651,0.189999997615814
05CC001,52.35402,-113.7947,1795.9256,938.1,1.544,113.3661,1.5649,0.1757,0.0065,0.0022,0.0568,0.0428,0.0356,0.6803,0.0,-15.1999998092651,0.189999997615814
05CC007,52.319559999999996,-114.3442,1915.9097,988.4,1.5986,128.3585,1.5242,0.2811,0.0157,0.0005,0.0123,0.0372,0.0671,0.5861,0.0,-15.1999998092651,0.189999997615814
05CC008,52.7563,-114.2856,353.0589,968.1,1.2923,145.8036,1.5185,0.3248,0.0057,0.0013,0.0047,0.0312,0.0619,0.5704,0.0,-15.1999998092651,0.189999997615814
05CC009,52.74038,-114.1468,238.8442,939.7,1.7823,85.944,1.6216,0.3556,0.0017,0.0001,0.0071,0.0396,0.061,0.5348,0.0,-15.1999998092651,0.189999997615814
05CC010,52.57374,-114.5777,52.7617,1029.3,1.3752,84.0156,3.2685,0.2982,0.004,0.0003,0.0002,0.0403,0.1066,0.5504,0.0,-15.1999998092651,0.189999997615814
05CC011,52.26849,-113.7999,486.6419,929.3,1.4827,329.3834,1.1001,0.0297,0.0261,0.0015,0.0243,0.1086,0.0122,0.7977,0.0,-15.1999998092651,0.189999997615814
05CC012,52.11444,-114.1194,142.0,942.7,1.585,181.9258,0.8234,0.0161,0.0105,0.0002,0.003,0.0351,0.0049,0.9301,0.0,-15.1999998092651,0.189999997615814
05CC013,52.36177,-114.4577,802.0605,995.2,1.4431,126.1858,1.3387,0.1776,0.0315,0.0003,0.0092,0.0389,0.0643,0.6782,0.0,-15.1999998092651,0.189999997615814
05CD006,52.33191,-113.363,164.9916,883.6,1.2687,117.5558,1.21,0.0158,0.0119,0.0055,0.0025,0.036000000000000004,0.0138,0.9145,0.0,-15.1999998092651,0.189999997615814
05CD007,52.40747,-113.1958,511.1538,863.3,1.5427,108.6039,1.4689,0.0665,0.0102,0.004,0.0152,0.0404,0.039,0.8248,0.0,-15.2048027656348,0.18974137692505802
05CE002,51.46946,-112.9783,2430.0,925.7,1.8376,99.0113,1.2699,0.0084,0.0765,0.0009,0.0127,0.0395,0.0076,0.8544,0.0,-15.2655573962167,0.18646997420593203
05CE006,51.41583,-113.7278,752.5313,1029.4,1.7022,88.0729,1.2384,0.0078,0.0312,0.0008,0.0178,0.0517,0.0061,0.8846,0.0,-15.1999998092651,0.189999997615814
05CE009,51.268609999999995,-112.9475,158.0,899.0,1.4816,8.2886,2.0984,0.002,0.1075,0.0014,0.0186,0.032,0.0108,0.8278,0.0,-15.730324796821199,0.161444040815538
05CE010,52.00117,-113.5997,44.3648,961.4,1.2701,107.6833,2.0815,0.0207,0.0021,0.0004,0.0,0.0333,0.0067,0.9369,0.0,-15.1999998092651,0.189999997615814
05CE011,51.71784,-113.3611,58.8803,910.7,1.2896,98.9751,1.9633,0.0097,0.0342,0.0,0.0012,0.0335,0.0069,0.9145,0.0,-15.1999998092651,0.189999997615814
05CE012,51.89591,-113.2411,512.6498,919.1,1.4425,128.7143,1.5209,0.1354,0.0637,0.0018,0.0292,0.0396,0.0487,0.6815,0.0,-15.1999998092651,0.189999997615814
05CE013,51.575,-113.5222,895.0,963.3,1.485,103.4508,0.7334,0.0045,0.0477,0.0008,0.0152,0.0426,0.0027,0.8865,0.0,-15.1999998092651,0.189999997615814
05CE016,51.59167,-113.5139,642.0,941.5,1.4844,148.9053,1.4252,0.0187,0.1193,0.0006,0.0157,0.0365,0.0074,0.8018,0.0,-15.1999998092651,0.189999997615814
05CE018,51.99747,-113.5686,199.4471,954.2,1.3167,164.352,1.6885,0.055,0.0193,0.0007,0.0108,0.0328,0.0161,0.8654,0.0,-15.1999998092651,0.189999997615814
05CE020,51.47153,-112.71700000000001,1168.8191,846.4,1.5344,262.9577,1.2901,0.0111,0.2257,0.0039,0.0205,0.0335,0.0295,0.6758,0.0,-16.1371459181792,0.13932461617818803
05CG004,51.66211,-112.084,200.0496,900.8,1.3489,59.7418,1.5347,0.0159,0.1127,0.0068,0.0145,0.0329,0.0235,0.7937,0.0,-16.0265822108788,0.14528480759244197
05CG006,51.3908,-112.2019,117.7358,985.5,1.5371,156.1647,1.2662,0.0071,0.3086,0.0008,0.006,0.0272,0.017,0.6333,0.0,-15.211701951128399,0.187978721283218
